年度,季度,項目,數值,備註,download_timestamp,process_timestamp
112,Q1,保險給付總額,595000,現金流轉負,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q1,新契約保費_FYP,162000,現金流轉負,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q1,淨現金流,-60000,現金流轉負,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q2,解約金,412800,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q2,總保費收入,573700,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q2,保險給付總額,605000,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q2,新契約保費_FYP,187500,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q2,淨現金流,-31300,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q3,解約金,380000,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q3,總保費收入,507600,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q3,保險給付總額,600000,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q3,新契約保費_FYP,160000,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q3,淨現金流,-92400,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q4,解約金,401600,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q4,總保費收入,571800,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q4,保險給付總額,610000,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q4,新契約保費_FYP,161900,,2026-05-23 22:01:52,2026-05-23 22:01:52
112,Q4,淨現金流,-38200,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q1,解約金,481500,00940效應,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q1,總保費收入,580000,00940效應,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q1,保險給付總額,664000,00940效應,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q1,新契約保費_FYP,175000,00940效應,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q1,淨現金流,-84000,00940效應,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q2,解約金,405100,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q2,總保費收入,554200,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q2,保險給付總額,663900,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q2,新契約保費_FYP,199800,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q2,淨現金流,-109700,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q3,解約金,450000,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q3,總保費收入,604900,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q3,保險給付總額,690000,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q3,新契約保費_FYP,208400,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q3,淨現金流,-85100,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q4,解約金,475500,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q4,總保費收入,701100,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q4,保險給付總額,691800,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q4,新契約保費_FYP,258600,,2026-05-23 22:01:52,2026-05-23 22:01:52
113,Q4,淨現金流,9300,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q1,解約金,435000,降息預期,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q1,總保費收入,624000,降息預期,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q1,保險給付總額,595000,降息預期,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q1,新契約保費_FYP,188000,降息預期,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q1,淨現金流,29000,降息預期,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q2,解約金,495000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q2,總保費收入,650000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q2,保險給付總額,620000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q2,新契約保費_FYP,210000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q2,淨現金流,30000,,2026-05-23 22:01:52,2026-05-23 22:01:52
